Customer ID,Full Name,Credit Score,Credit Limit,Outstanding Debt,SSN
201,Michael Hunter,698,"$11,890 ","$1,165 ",681516294
202,Kevin Hanna,666,"$13,376 ","$2,990 ",427278963
203,Amy King,703,"$9,969 ","$4,964 ",125521435
204,Elizabeth Hunter,722,"$10,866 ","$3,389 ",890269661
205,Laura Pierce,655,"$13,268 ","$1,570 ",440150217
206,Christopher Sanchez,672,"$7,289 ","$4,095 ",560519977
207,Crystal Walsh,624,"$9,104 ","$4,726 ",794028999
208,Sean Lee,736,"$14,861 ","$4,695 ",971104079
209,Richard Rivers DVM,637,"$10,081 ","$1,404 ",299810911
210,Eric Pineda,786,"$6,208 ","$4,681 ",317316417
211,Anthony Robertson,775,"$10,409 ","$2,933 ",664319054
212,Paige Taylor,743,"$6,649 ","$2,449 ",853991216
213,Daniel Fields,711,"$10,180 ","$3,502 ",864321416
214,James Stephenson,763,"$8,350 ","$4,959 ",272247411
215,Justin Dunn,741,"$12,815 ","$2,813 ",687884927
216,Emily Scott,733,"$9,267 ","$1,255 ",520345111
217,Mason Kramer,740,"$5,230 ","$1,382 ",619051717
218,Joshua Perez,784,"$11,534 ","$3,909 ",439390923
219,Joshua Schwartz,800,"$5,018 ","$3,506 ",725866944
220,Andrew Morgan,726,"$10,458 ","$1,999 ",263416426
221,Jenna Larsen,786,"$10,328 ","$3,882 ",925917084
222,Daniel Sanders,616,"$8,130 ","$4,756 ",598452919
223,Marie French,745,"$8,632 ","$1,977 ",861244269
224,Sarah Ferrell,636,"$13,896 ","$2,834 ",748946718
225,Kimberly Jefferson MD,623,"$6,318 ","$2,310 ",862796930
226,Jeffrey Sherman,730,"$13,016 ","$1,446 ",732164629
227,Jacob Delgado,677,"$14,031 ","$2,192 ",293335375
228,Lawrence Lee,780,"$7,044 ","$3,242 ",797290602
229,Lauren Wilson,685,"$13,852 ","$1,832 ",13503699
230,Savannah Williams,754,"$13,965 ","$3,406 ",758837553
231,Tonya Owens DDS,673,"$12,290 ","$1,375 ",793887748
232,Jonathan Smith,752,"$11,306 ","$2,298 ",351834739
233,Melissa Graham,747,"$8,966 ","$2,189 ",517586398
234,Robert Poole,647,"$8,102 ","$4,364 ",515322796
235,Sheena Bailey,647,"$5,540 ","$3,509 ",819585593
236,Luis Martin,768,"$9,260 ","$2,951 ",718193822
237,Peter Duffy,617,"$6,471 ","$3,780 ",731150403
238,Stacey James,793,"$7,133 ","$4,591 ",821347166
239,Alexander Peterson,638,"$5,633 ","$4,450 ",753727746
240,Mike Henderson,620,"$13,857 ","$3,799 ",101805565
241,Jason Reyes,700,"$13,594 ","$2,128 ",410732948
242,Holly Murphy,733,"$8,858 ","$4,479 ",164641572
243,Daniel Lee,655,"$14,663 ","$4,380 ",386979842
244,Jamie Smith,707,"$14,497 ","$2,127 ",38654632
245,Bethany Knox,715,"$13,071 ","$3,704 ",892497605
246,Erin Rodriguez,764,"$10,855 ","$1,337 ",79605046
247,Elizabeth Mullen,683,"$6,889 ","$2,992 ",665391874
248,Michael Duke,750,"$10,493 ","$4,461 ",641557743
249,Samantha Stevens,648,"$8,981 ","$1,066 ",639589706
250,Michael Mcdowell,787,"$9,440 ","$1,479 ",417097957
251,Lori Nguyen,780,"$8,612 ","$2,523 ",194769565
